#thise are the data exported without any corrections
token	lemma	pos	morph	Dis	treated
lia	lia	NOMcom	Case=Abl|Numb=Plur	_	lia
nemPriuato	nempriuatus	VER	Case=Abl|Numb=Sing|Gend=MascNeut	_	nemPriuato
quod	qui1	PROrel	Case=Nom|Numb=Sing|Gend=Neut	1	quod
positum	pono	VER	Case=Nom|Numb=Sing|Gend=Neut|Mood=Par|Tense=Perf|Voice=Pass	_	positum
est	sum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	1	est
{	{	PUNC	MORPH=empty	_	--IGN.--
Pietate	pietas	NOMcom	Case=Abl|Numb=Sing	_	Pietate
et	et2	CONcoo	MORPH=empty	2	et
vitæ	uita	NOMcom	Case=Gen|Numb=Sing	_	uitae
sanctirate	sanctirate	ADV	Numb=Plur	_	sanctirate
exerceant	exerceo	VER	Numb=Plur|Mood=Sub|Tense=Pres|Voice=Act|Person=3	_	exerceant
Tum	tum	ADV	Deg=Pos	_	Tum
pe	pes	NOMcom	Case=Nom|Numb=Sing	_	pe
de	de	PRE	MORPH=empty	_	de
De	de	PRE	MORPH=empty	_	De
in	in	PRE	MORPH=empty	_	in
eo	is	PROdem	Case=Abl|Numb=Sing|Gend=MascNeut	_	eo
vt	ut4	CONsub	MORPH=empty	4	ut
se	sui1	PROref	Case=Acc|Numb=Sing	1	se
et	et2	CONcoo	MORPH=empty	2	et
in	in	PRE	MORPH=empty	_	in
Assidua	assiduus	ADJqua	Case=Abl|Numb=Sing|Gend=Fem	_	Assidua
scripturæ	scriptura	NOMcom	Case=Gen|Numb=Sing	_	scripturae
lectione	lectio	NOMcom	Case=Abl|Numb=Sing	_	lectione
{	{	PUNC	MORPH=empty	_	--IGN.--
Geneologijs	geneologia	NOMpro	Case=Abl|Numb=Plur	_	Geneologiis
Munere	munus	NOMcom	Case=Abl|Numb=Sing	_	Munere
Docendo	doceo	VER	Case=Abl|Numb=Sing|Gend=MascNeut|Mood=Adj|Voice=Pass	_	Docendo
Sanã	sanus	ADJqua	Case=Abl|Numb=Sing|Gend=Fem|Deg=Pos	_	Sana
doctrinã	doctrina	NOMcom	Case=Abl|Numb=Sing	_	doctrina
SãEtè	saete	NOMpro	Case=Nom|Numb=Sing	_	SaEte
et	et2	CONcoo	MORPH=empty	2	et
purè	pure	ADV	Deg=Pos	_	pure
Cibis	cibus	NOMcom	Case=Abl|Numb=Plur	_	Cibis
coniugijs	coniugium	NOMcom	Case=Abl|Numb=Plur	_	coniugiis
earum	is	PROdem	Case=Gen|Numb=Plur|Gend=Fem	_	earum
et	et2	CONcoo	MORPH=empty	2	et
eo	eo3	ADV	Case=Abl|Numb=Sing	3	eo
Inanibus	inanis	ADJqua	Case=Abl|Numb=Plur	_	Inanibus
quæquidem	quisquidem	ADJcar	Numb=Sing	_	quaequidem
vel	uel1	ADV	MORPH=empty	1	uel
Peccãdo	pecco	NOMpro	Case=Abl|Numb=Sing	_	Peccado
Reprehẽdẽdo	reprehedo	VER	Numb=Sing|Mood=Adj|Voice=Pass|Person=1	_	Reprehededo
fal	fal	NOMcom	Case=Nom|Numb=Sing	_	fal
{	{	PUNC	MORPH=empty	_	--IGN.--
Publico	publicus2	ADJqua	Case=Dat|Numb=Sing|Gend=MascNeut|Deg=Pos	2	Publico
quod	qui1	PROrel	Case=Nom|Numb=Sing	1	quod
est	sum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	1	est
{	{	PUNC	MORPH=empty	_	--IGN.--
sam	sam	VER	Numb=Sing	_	sam
siue	siue2	CONsub	MORPH=empty	2	siue
illa	ille	PROdem	Case=Nom|Numb=Sing|Gend=Fem	_	illa
sit	sum1	VER	Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3	1	sit
de	de	PRE	MORPH=empty	_	de
{	{	PUNC	MORPH=empty	_	--IGN.--
stionibus	stio	NOMcom	Case=Abl|Numb=Plur	_	stionibus
Personis	persona	NOMcom	Case=Abl|Numb=Plur|Gend=Com	_	Personis
quæ	qui1	PROrel	Case=Nom|Numb=Sing|Gend=Fem	1	quae
{	{	PUNC	MORPH=empty	_	--IGN.--
in	in	PRE	MORPH=empty	_	in
proquoCũ	proquolum	NOMcom	Case=Abl|Numb=Sing	_	proquoCu
animi	animus	NOMcom	Case=Gen|Numb=Sing	_	animi
lenitate	lenitas	NOMcom	Case=Abl|Numb=Sing	_	lenitate
uis	uis	NOMcom	Case=Nom|Numb=Sing	_	uis
hominum	homo	NOMcom	Case=Gen|Numb=Plur	_	hominum
genere	genus1	NOMcom	Case=Abl|Numb=Sing	1	genere
vbi	ubi3	CONsub	MORPH=empty	3	ubi
Ministerio	ministerium	NOMcom	Case=Abl|Numb=Sing	_	Ministerio
subViduis	subuiduus	ADJqua	Case=Abl|Numb=Plur	_	subUiduis
Eliguntur	eligo3	VER	Numb=Plur|Mood=Ind|Tense=Pres|Voice=Pass|Person=3	3	Eliguntur
ad	ad2	PRE	MORPH=empty	2	ad
de	de	PRE	MORPH=empty	_	de
decoro	decorum	NOMcom	Case=Abl|Numb=Sing|Gend=MascNeut|Deg=Pos	_	decoro
coe	coe	ADJqua	Case=Abl|Numb=Sing	_	coe
PræposiSine	praeposimus	NOMcom	Numb=Sing	_	PraeposiSine
personarum	persona	NOMcom	Case=Gen|Numb=Plur	_	personarum
sunt	sum1	VER	Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3	1	sunt
inter	inter	PRE	MORPH=empty	_	inter
quas	qui1	PROrel	Case=Acc|Numb=Plur|Gend=Fem	1	quas
et	et2	CONcoo	MORPH=empty	2	et
quæ	qui1	PROrel	Case=Nom|Numb=Plur|Gend=Neut	1	quae
ministeria	ministerium	NOMcom	Case=Nom|Numb=Plur	_	ministeria
tus	tus	NOMcom	Case=Nom|Numb=Sing	_	tus
agitur	ago	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Pass|Person=3	_	agitur
tos	tondeo	PROper	Case=Acc|Numb=Plur	_	tos
ipsos	ipse	PROdem	Case=Acc|Numb=Plur|Gend=Masc	_	ipsos
acceptione	acceptio	NOMcom	Case=Abl|Numb=Sing	_	acceptione
agit	ago	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	_	agit
præcipuè	praecipue	ADV	Deg=Pos	_	praecipue
Seruis	seruus1	NOMcom	Case=Dat|Numb=Plur	1	Seruis
pauperum	pauper	ADJqua	Case=Gen|Numb=Plur|Gend=Com|Deg=Pos	_	pauperum
{	{	PUNC	MORPH=empty	_	--IGN.--
{	{	PUNC	MORPH=empty	_	--IGN.--
Reprehẽdẽdo	reprehedo	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=1	_	Reprehededo
Ecclesiæ	Ecclesia	NOMpro	Case=Nom|Numb=Plur	_	Ecclesiae
Cùm	cum3	CONsub	MORPH=empty	3	Cum
patuerint	pateo	VER	Numb=Plur|Mood=Ind|Tense=FutAnt|Voice=Act|Person=3	_	patuerint
Paulus	Paulus	NOMpro	Case=Nom|Numb=Sing	_	Paulus
de	de	PRE	MORPH=empty	_	de
Diuiti	diues	ADJqua	Case=Abl|Numb=Sing|Gend=Com|Deg=Pos	_	Diuiti
{	{	PUNC	MORPH=empty	_	--IGN.--
Aluntur	alo	VER	Numb=Plur|Mood=Ind|Tense=Pres|Voice=Pass|Person=3	_	Aluntur
ab	ab	PRE	MORPH=empty	_	ab
et	et2	CONcoo	MORPH=empty	2	et
castigãdo	castigo	NOMcom	Case=Abl|Numb=Sing	_	castigado
tũ	tu	PROper	Case=Nom|Numb=Sing	_	tu
Gregem	grex	NOMcom	Case=Acc|Numb=Sing	_	Gregem
peccata	peccatum	NOMcom	Case=Nom|Numb=Plur	_	peccata
{	{	PUNC	MORPH=empty	_	--IGN.--
Constanter	constanter	ADV	Deg=Pos	_	Constanter
bus	bos	NOMcom	Case=Abl|Numb=Sing	1	bus
His	hic1	PROdem	Case=Dat|Numb=Plur|Gend=Com	1	His
Ecclesia	Ecclesia	NOMpro	Case=Nom|Numb=Sing	_	Ecclesia
{	{	PUNC	MORPH=empty	_	--IGN.--
quod	quod2	PROrel	MORPH=empty	2	quod
fieCõstãter	fielostater	VER	Case=Nom|Numb=Sing|Deg=Pos	_	fieCostater
Proba	probus	NOMpro	Numb=Sing|Gend=Fem|Deg=Pos	_	Proba
suo	suus	PROpos.ref	Case=Abl|Numb=Sing|Gend=MascNeut	_	suo
munere	munus	NOMcom	Case=Abl|Numb=Sing	_	munere
omnibus	omnis	PROind	Case=Dat|Numb=Plur|Gend=Com	_	omnibus
absoluitur	absoluo	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Pass|Person=3	_	absoluitur
tractation	tractatio	NOMcom	Case=Nom|Numb=Sing	_	tractation
et	et2	CONcoo	MORPH=empty	2	et
arguri	argur	VER	Numb=Sing	_	arguri
debet	debeo	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	_	debet
omnia	omnis	PROind	Case=Acc|Numb=Plur|Gend=Neut	_	omnia
et	et2	CONcoo	MORPH=empty	2	et
Peculiaria	peculiaris	ADJqua	Case=Acc|Numb=Plur|Gend=Neut|Deg=Pos	_	Peculiaria
{	{	PUNC	MORPH=empty	_	--IGN.--
fungatur	fungor	VER	Numb=Sing|Mood=Sub|Tense=Pres|Voice=Dep|Person=3	_	fungatur
{	{	PUNC	MORPH=empty	_	--IGN.--
mentũ	mentus	NOMcom	Case=Abl|Numb=Sing	_	mentu
huius	hic1	PROdem	Case=Gen|Numb=Sing|Gend=Com	1	huius
Epistolæ	Epistola	NOMpro	Case=Gen|Numb=Sing	_	Epistolae
vberrimum	uber2	ADJqua	Case=Acc|Numb=Sing|Gend=MascNeut|Deg=Sup	2	uberrimum
sustinenPlagas	sustinenplagus	NOMcom	Case=Acc|Numb=Plur	_	sustinenPlagas
nempe	nempe	ADV	Deg=Pos	_	nempe
vt	ut4	CONsub	MORPH=empty	4	ut
{	{	PUNC	MORPH=empty	_	--IGN.--
Secundũm	secundum2	PRE	MORPH=empty	2	Secundum
prophetias	prophetia	NOMcom	Case=Acc|Numb=Plur	_	prophetias
prædictas	praedico2	VER	Case=Acc|Numb=Plur|Gend=Fem|Mood=Par|Tense=Perf|Voice=Pass	2	praedictas
tes	tu	PROper	Numb=Sing	_	tes
Continet	contineo	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	_	Continet
igitur	igitur	CONcoo	MORPH=empty	_	igitur
hæc	hic1	PROdem	Case=Nom|Numb=Plur|Gend=Fem	1	haec
Epistola	Epistola	NOMpro	Case=Nom|Numb=Plur	_	Epistola
præcepta	praeceptum	NOMcom	Case=Acc|Numb=Plur	_	praecepta
partim	partim	ADV	Deg=Pos	_	partim
Timotheus	Timotheus	NOMpro	Case=Nom|Numb=Sing	_	Timotheus
{	{	PUNC	MORPH=empty	_	--IGN.--
Vino	uinum	NOMcom	Case=Abl|Numb=Sing	_	Uino
vtatur	utor	VER	Numb=Sing|Mood=Sub|Tense=Pres|Voice=Dep|Person=3	_	utatur
propter	propter2	PRE	MORPH=empty	2	propter
stomachum	stomachus	NOMcom	Case=Acc|Numb=Sing	_	stomachum
{	{	PUNC	MORPH=empty	_	--IGN.--
Precatus	precor	VER	Case=Nom|Numb=Sing|Gend=Masc|Mood=Par|Tense=Perf|Voice=Dep	_	Precatus
)	)	PUNC	MORPH=empty	_	--IGN.--
blanda	blandus	ADJqua	Case=Nom|Numb=Sing|Gend=Fem|Deg=Pos	_	blanda
et	et2	CONcoo	MORPH=empty	2	et
modesta	modestus	ADJqua	Case=Nom|Numb=Sing|Gend=Fem|Deg=Pos	_	modesta
ad	ad2	PRE	MORPH=empty	2	ad
monitio	monitio	NOMcom	Case=Nom|Numb=Sing	_	monitio
:	:	PUNC	MORPH=empty	_	--IGN.--
quæ	qui1	PROrel	Case=Nom|Numb=Sing|Gend=Fem	1	quae
eo	eo3	ADV	Deg=Pos	3	eo
acutius	acute	ADV	Numb=Sing|Deg=Comp	_	acutius
pungit	pungo	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	_	pungit
et	et2	CONcoo	MORPH=empty	2	et
magis	magis2	ADV	Deg=Comp	2	magis
seriò	serio	ADV	Numb=Sing|Deg=Pos	_	serio
,	,	PUNC	MORPH=empty	_	--IGN.--
quò	quo1	ADVrel	Case=Abl	1	quo
maior	magnus	ADJqua	Case=Nom|Numb=Sing|Gend=MascFem|Deg=Comp	_	maior
est	sum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	1	est
Pauli	Paulus	NOMpro	Case=Gen|Numb=Sing	_	Pauli
in	in	PRE	MORPH=empty	_	in
Timotheum	Timotheus	NOMpro	Case=Acc|Numb=Sing	_	Timotheum
authoritas	authoritas	NOMcom	Case=Acc|Numb=Sing	_	authoritas
,	,	PUNC	MORPH=empty	_	--IGN.--
id	is	PROdem	Case=Nom|Numb=Sing|Gend=Neut	_	id
est	sum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	1	est
,	,	PUNC	MORPH=empty	_	--IGN.--
præceptoris	praeceptor	NOMcom	Case=Gen|Numb=Sing	_	praeceptoris
et	et2	CONcoo	MORPH=empty	2	et
patris	pater	NOMcom	Case=Gen|Numb=Sing	_	patris
in	in	PRE	MORPH=empty	_	in
filium	filius	NOMcom	Case=Acc|Numb=Sing	_	filium
,	,	PUNC	MORPH=empty	_	--IGN.--
et	et2	CONcoo	MORPH=empty	2	et
discipulum	discipulus	NOMcom	Case=Acc|Numb=Sing	_	discipulum
ius	ius1	NOMcom	Case=Nom|Numb=Sing	1	ius
et	et2	CONcoo	MORPH=empty	2	et
affectus	affectus1	NOMcom	Case=Gen|Numb=Sing	1	affectus
.	.	PUNC	MORPH=empty	_	--IGN.--
Vtrunque	uterque	PROind	Case=Acc	3	Utrunque
autem	autem	CONcoo	MORPH=empty	_	autem
potest	possum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	1	potest
Pastor	pastor	NOMcom	Case=Nom|Numb=Sing	_	Pastor
,	,	PUNC	MORPH=empty	_	--IGN.--
Denuntiare	denuntio	VER	Mood=Inf|Tense=Pres|Voice=Act	_	Denuntiare
vt	ut1	ADVrel	MORPH=empty	1	ut
præfectus	praefectus	NOMcom	Case=Nom|Numb=Sing	_	praefectus
et	et2	CONcoo	MORPH=empty	2	et
pastor	pastor	NOMcom	Case=Nom|Numb=Sing	_	pastor
:	:	PUNC	MORPH=empty	_	--IGN.--
et	et2	CONcoo	MORPH=empty	2	et
Precari	precor	VER	Mood=Inf|Tense=Pres|Voice=Dep	_	Precari
vt	ut1	ADVrel	MORPH=empty	1	ut
frater2	frater	NOMcom	Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act	_	frater2
Tessal	tessal	NOMpro	Case=Nom	_	Tessal
.	.	PUNC	MORPH=empty	_	--IGN.--
3	3	ADJcar	MORPH=empty	_	3
.	.	PUNC	MORPH=empty	_	--IGN.--
V	5	ADJcar	MORPH=empty	_	3
.	.	PUNC	MORPH=empty	_	--IGN.--
I2	is	NOMcom	Person=2	_	I2
.	.	PUNC	MORPH=empty	_	--IGN.--
Nam	nam	CONcoo	MORPH=empty	_	Nam
quam	qui1	PROrel	Case=Acc|Numb=Sing|Gend=Fem	1	quam
hîc	hic1	PROdem	Case=Nom|Numb=Sing|Gend=Masc	1	hic
sibi	sui1	PROref	Case=Dat|Numb=Sing	1	sibi
nõ	no	ADVneg	Numb=Sing	_	no
tribuit	tribuo	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	_	tribuit
,	,	PUNC	MORPH=empty	_	--IGN.--
dat	do	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	_	dat
Timotheo	Timotheus	NOMpro	Case=Dat|Numb=Sing	_	Timotheo
postea	postea	ADV	Deg=Pos	_	postea
potestatem	potestas	NOMcom	Case=Acc|Numb=Sing	_	potestatem
:	:	PUNC	MORPH=empty	_	--IGN.--
nimirum	nimirum	ADV	Deg=Pos	_	nimirum
,	,	PUNC	MORPH=empty	_	--IGN.--
Denuntiandi	denuntio	VER	Case=Gen|Numb=Sing|Mood=Ger|Voice=Act	_	Denuntiandi
et	et2	CONcoo	MORPH=empty	2	et
quasi	quasi1	ADVrel	MORPH=empty	1	quasi
iubendi	iubeo	VER	Case=Gen|Numb=Sing|Mood=Ger|Voice=Act	_	iubendi
.	.	PUNC	MORPH=empty	_	--IGN.--
Hîc	hic1	PROdem	Case=Nom|Numb=Sing	1	Hic
autem	autem	CONcoo	MORPH=empty	_	autem
nihil	nihil	PROind	Case=Ind	_	nihil
de	de	PRE	MORPH=empty	_	de
Papali	Papalis	NOMpro	Case=Abl|Numb=Sing	_	Papali
authoritate	authoritas	NOMcom	Numb=Sing	_	authoritate
et	et2	CONcoo	MORPH=empty	2	et
Petri	Petrus	NOMpro	Case=Gen|Numb=Sing	_	Petri
iure	ius1	NOMcom	Case=Abl|Numb=Sing	1	iure
agitur	ago	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Pass|Person=3	_	agitur
in	in	PRE	MORPH=empty	_	in
Timotheo	Timotheus	NOMpro	Case=Abl|Numb=Sing	_	Timotheo
Epheso	Ephesus	NOMpro	Case=Abl|Numb=Sing	_	Epheso
præficiendo	praeficio	VER	Case=Abl|Numb=Sing|Gend=MascNeut|Mood=Adj|Voice=Pass	_	praeficiendo
,	,	PUNC	MORPH=empty	_	--IGN.--
cuius	qui1	PROrel	Case=Gen|Numb=Sing|Gend=Com	1	cuius
consensus	consensus	NOMcom	Case=Nom|Numb=Sing	_	consensus
in	in	PRE	MORPH=empty	_	in
Timotheo	Timotheus	NOMpro	Case=Abl|Numb=Sing	_	Timotheo
vocando	uoco	VER	Case=Abl|Numb=Sing|Gend=MascNeut|Mood=Adj|Voice=Pass	_	uocando
non	non	ADVneg	MORPH=empty	_	non
interuenit	interuenio	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	_	interuenit
,	,	PUNC	MORPH=empty	_	--IGN.--
neque	neque	CONcoo	MORPH=empty	_	neque
à	ab	PRE	MORPH=empty	_	a
Paulo	Paulus	NOMpro	Case=Abl|Numb=Sing	_	Paulo
est	sum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	1	est
vel	uel2	CONcoo	MORPH=empty	2	uel
quæsitus	quaero	VER	Case=Nom|Numb=Sing|Gend=Masc|Mood=Par|Tense=Perf|Voice=Pass	_	quaesitus
,	,	PUNC	MORPH=empty	_	--IGN.--
vel	uel2	CONcoo	MORPH=empty	2	uel
expectatus	exspecto	VER	Case=Nom|Numb=Sing|Gend=Masc|Mood=Par|Tense=Perf|Voice=Pass	_	expectatus
.	.	PUNC	MORPH=empty	_	--IGN.--
Annotauit	annoto	VER	Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3	_	Annotauit
Eras	sum1	VER	Numb=Sing|Mood=Ind|Tense=Impa|Voice=Act|Person=2	1	Eras
.	.	PUNC	MORPH=empty	_	--IGN.--
lucidiora	lucidus	ADJqua	Case=Acc|Numb=Plur|Gend=Neut|Deg=Comp	_	lucidiora
esse	sum1	VER	Mood=Inf|Tense=Pres|Voice=Act	1	esse
Græca	Graecus	ADJqua	Case=Acc|Numb=Plur|Gend=Neut|Deg=Pos	_	Graeca
,	,	PUNC	MORPH=empty	_	--IGN.--
quàm	quam1	ADVrel	MORPH=empty	1	quam
Latina	Latinus	ADJqua	Case=Nom|Numb=Sing|Gend=Neut|Deg=Pos	_	Latina
,	,	PUNC	MORPH=empty	_	--IGN.--
quod	qui1	PROrel	Case=Nom|Numb=Sing|Gend=Neut	1	quod
verum	uerus	ADJqua	Case=Nom|Numb=Sing|Gend=Neut|Deg=Pos	_	uerum
est	sum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	1	est
,	,	PUNC	MORPH=empty	_	--IGN.--
et	et2	CONcoo	MORPH=empty	2	et
repetendum	repeto	VER	Case=Nom|Numb=Sing|Gend=Neut|Mood=Adj|Voice=Pass	_	repetendum
est	sum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	1	est
aliquid	aliquis	PROind	Case=Nom|Numb=Sing|Gend=Neut	_	aliquid
ἀπό	[Greek]	FOR	MORPH=empty	_	--IGN.--
τοῦ	[Greek]	FOR	MORPH=empty	_	--IGN.--
κοινοῦ	[Greek]	FOR	MORPH=empty	_	--IGN.--
,	,	PUNC	MORPH=empty	_	--IGN.--
sic	sic	ADV	Deg=Pos	_	sic
Quemadmodum	quemadmodum1	ADVrel	MORPH=empty	1	Quemadmodum
te	tu	PROper	Case=Acc|Numb=Sing	_	te
rogaui	rogo	VER	Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=1	_	rogaui
,	,	PUNC	MORPH=empty	_	--IGN.--
vt	ut4	CONsub	MORPH=empty	4	ut
permaneres	permaneo	VER	Numb=Sing|Mood=Sub|Tense=Impa|Voice=Act|Person=2	_	permaneres
Ephesi	Ephesus	NOMpro	Case=Loc|Numb=Sing	_	Ephesi
,	,	PUNC	MORPH=empty	_	--IGN.--
maneto	maneo	VER	Numb=Sing|Mood=Imp|Tense=Fut|Voice=Act|Person=2	_	maneto
,	,	PUNC	MORPH=empty	_	--IGN.--
vt	ut4	CONsub	MORPH=empty	1	ut
denunties	denuntio	VER	Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=2	_	denunties
,	,	PUNC	MORPH=empty	_	--IGN.--
et	et2	CONcoo	MORPH=empty	2	et
c	conscribo	NOMpro	Case=Acc|Numb=Plur	_	c
.	.	PUNC	MORPH=empty	_	--IGN.--
Sic	sic	ADV	Deg=Pos	_	Sic
enim	enim2	CONcoo	MORPH=empty	2	enim
facilè	facile	ADV	Deg=Pos	_	facile
fluit	fluo	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	_	fluit
sensus	sensus	NOMcom	Case=Nom|Numb=Sing	_	sensus
.	.	PUNC	MORPH=empty	_	--IGN.--
Proficiscerer	proficiscor	VER	Numb=Sing|Mood=Sub|Tense=Impa|Voice=Dep|Person=1	_	Proficiscerer
in	in	PRE	MORPH=empty	_	in
Macedoniam	Macedonia	NOMpro	Case=Acc|Numb=Sing	_	Macedoniam
,	,	PUNC	MORPH=empty	_	--IGN.--
Hæc	hic1	PROdem	Case=Nom|Numb=Sing|Gend=Fem	1	Haec
est	sum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	1	est
tertia	tertius	ADJord	Case=Nom|Numb=Sing|Gend=Fem|Deg=Pos	_	tertia
profectio	profectio	NOMcom	Case=Nom|Numb=Sing	_	profectio
(	(	PUNC	MORPH=empty	_	--IGN.--
quemad	quemadmodum?	PROint	Numb=Sing|Gend=Neut	_	quemad
modum	modus	NOMcom	Case=Acc|Numb=Sing	_	modum
obseruauit	obseruo	VER	Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3	_	obseruauit
D.Th	Dho	NOMpro	Numb=Sing	_	DTh
.	.	PUNC	MORPH=empty	_	--IGN.--
Beza	Beza	NOMpro	Case=Voc	_	Beza
prȩceptor	preceptor	NOMcom	Case=Nom|Numb=Sing	_	preceptor
meus	meus	PROpos	Case=Nom|Numb=Sing|Gend=Masc	_	meus
)	)	PUNC	MORPH=empty	_	--IGN.--
quæ	qui1	PROrel	Case=Acc|Numb=Sing|Gend=Fem	1	quae
contigisse	contingo1	VER	Mood=Inf|Tense=Perf|Voice=Act	1	contigisse
videtur	uideo	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Pass|Person=3	_	uidetur
annoà	annoa	NOMcom	Case=Nom|Numb=Sing|Deg=Pos	_	annoa
Pauli	Paulus	NOMpro	Case=Gen|Numb=Sing	_	Pauli
cõuersione	couersio	NOMcom	Case=Abl|Numb=Sing	_	couersione
28	3	ADJcar	MORPH=empty	_	3
.	.	PUNC	MORPH=empty	_	--IGN.--
et	et2	CONcoo	MORPH=empty	2	et
à	ab	PRE	MORPH=empty	_	a
nato	nascor	NOMcom	Case=Abl|Numb=Sing|Gend=MascNeut	2	nato
Christo	Christus	NOMpro	Case=Abl|Numb=Sing	_	Christo
62	3	ADJcar	MORPH=empty	_	3
.	.	PUNC	MORPH=empty	_	--IGN.--
Huius	hic1	PROdem	Case=Gen|Numb=Sing|Gend=Com	1	Huius
sit	sum1	VER	Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3	1	sit
mentio	mentio1	NOMcom	Case=Nom|Numb=Sing	1	mentio
Act	ac1	CONcoo	MORPH=empty	2	Act
.	.	PUNC	MORPH=empty	_	--IGN.--
I9	is	PROdem	Case=Nom|Numb=Sing	1	I9
.	.	PUNC	MORPH=empty	_	--IGN.--
et	et2	CONcoo	MORPH=empty	2	et
2O	do	ADJcar	MORPH=empty	_	2O
.	.	PUNC	MORPH=empty	_	--IGN.--
Ergo	ergo2	CONcoo	MORPH=empty	2	Ergo
scripta	scribo	VER	Case=Nom|Numb=Sing|Gend=Fem|Mood=Par|Tense=Perf|Voice=Pass	_	scripta
est	sum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	2	est
hæc	hic1	PROdem	Case=Nom|Numb=Sing|Gend=Fem	1	haec
Epistola	Epistola	NOMpro	Case=Nom|Numb=Sing	_	Epistola
ante	ante2	PRE	MORPH=empty	2	ante
eas	is	PROdem	Case=Acc|Numb=Plur|Gend=Fem	_	eas
,	,	PUNC	MORPH=empty	_	--IGN.--
quæ	qui1	PROrel	Case=Nom|Numb=Plur|Gend=Fem	1	quae
sunt	sum1	VER	Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3	1	sunt
ad	ad2	PRE	MORPH=empty	2	ad
Ephesios	Ephesii	NOMpro	Case=Acc|Numb=Plur|Gend=Masc|Deg=Pos	_	Ephesios
,	,	PUNC	MORPH=empty	_	--IGN.--
Philippenses	Philippensis	NOMpro	Case=Nom|Numb=Plur	_	Philippenses
,	,	PUNC	MORPH=empty	_	--IGN.--
Colossenses	Colossenses	NOMpro	Case=Nom|Numb=Plur|Gend=MascFem	_	Colossenses
.	.	PUNC	MORPH=empty	_	--IGN.--
Post	post2	PRE	MORPH=empty	2	Post
eam	is	PROdem	Case=Acc|Numb=Sing|Gend=Fem	_	eam
tamen	tamen	ADV	Deg=Pos	_	tamen
vtranque	uterque	PROind	Case=Abl	_	utranque
quæ	qui1	PROrel	Case=Nom|Numb=Sing|Gend=Fem	1	quae
est	sum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	1	est
ad	ad2	PRE	MORPH=empty	2	ad
Corinthios	Corinthii	NOMpro	Case=Acc|Numb=Plur|Gend=Masc	_	Corinthios
,	,	PUNC	MORPH=empty	_	--IGN.--
et	et2	CONcoo	MORPH=empty	2	et
ad	ad2	PRE	MORPH=empty	2	ad
Titum	Titus	NOMpro	Case=Acc|Numb=Sing	_	Titum
.	.	PUNC	MORPH=empty	_	--IGN.--
Post	post2	PRE	MORPH=empty	2	Post
vtranque	uterque	PROind	MORPH=empty	_	utranque
eam	is	PROdem	Case=Acc|Numb=Sing|Gend=Fem	_	eam
,	,	PUNC	MORPH=empty	_	--IGN.--
quæ	qui1	PROrel	Case=Nom|Numb=Sing|Gend=Fem	1	quae
ad	ad2	PRE	MORPH=empty	2	ad
Thessalonieenses	Thessalonienses	NOMpro	Case=Acc|Numb=Plur|Deg=Pos	_	Thessalonieenses
